latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
31.27326,48.13876,317.06,2.22,1.44,2025-06-27,0022,A,94,6.1NRT,297.28,43.94,N
31.2233,48.50351,307.85,2.36,1.48,2025-06-27,0022,A,73,6.1NRT,295.96,22.95,N
31.27821,48.10956,315.19,2.21,1.44,2025-06-27,0022,A,91,6.1NRT,296.13,39.18,N
31.27365,48.13165,324.89,2.22,1.44,2025-06-27,0022,A,100,6.1NRT,298,69.21,N
30.72736,49.82652,313.92,2.99,1.64,2025-06-27,0022,A,88,6.1NRT,298.87,46.3,N
30.72585,49.81889,310.45,2.99,1.64,2025-06-27,0022,A,80,6.1NRT,298.03,34.37,N
31.09159,47.79304,317.25,2.12,1.42,2025-06-27,0022,A,95,6.1NRT,296.95,42.82,N
31.00595,48.13728,325.92,2.25,1.45,2025-06-27,0022,A,100,6.1NRT,296.38,75.07,N
31.00118,48.15967,318.69,2.26,1.46,2025-06-27,0022,A,97,6.1NRT,296.85,51.02,N
31.08876,47.78749,312.78,2.12,1.42,2025-06-27,0022,A,86,6.1NRT,295.76,31.26,N
31.00541,48.13233,318.63,2.25,1.45,2025-06-27,0022,A,97,6.1NRT,295.21,50.34,N
31.00079,48.15476,327.07,2.26,1.46,2025-06-27,0022,A,100,6.1NRT,297.27,79.69,N
31.0821,47.63093,305.97,2.07,1.4,2025-06-27,0022,A,66,6.1NRT,295.58,18.36,N
31.03701,47.27126,312.86,1.96,1.37,2025-06-27,0022,A,86,6.1NRT,296.76,26.14,N
31.03304,47.29087,366.55,1.97,1.37,2025-06-27,0022,A,100,6.1NRT,301.74,279.21,N
30.25746,50.78027,311.36,3.57,1.77,2025-06-27,0022,A,82,6.1NRT,295.55,54.79,N
30.86423,47.9215,341,2.19,1.44,2025-06-27,0022,A,100,6.1NRT,296.37,140.69,N
30.85962,47.94331,323.44,2.2,1.44,2025-06-27,0022,A,100,6.1NRT,295.8,65.29,N
30.26099,50.77706,310.46,3.57,1.77,2025-06-27,0022,A,80,6.1NRT,295.11,51.02,N
30.8627,47.91615,324.61,2.19,1.44,2025-06-27,0022,A,100,6.1NRT,294.69,68.57,N
30.85824,47.938,326.76,2.2,1.44,2025-06-27,0022,A,100,6.1NRT,295.85,76.51,N
